time (sec)	X tilt (m/s^2)	Y tilt (m/s^2)	Z tilt (m/s^2)
5.15593	0.189862	-9.52737	-2.16122
5.16595	0.190933	-9.52729	-2.1621
5.17596	0.192047	-9.52721	-2.16299
5.18597	0.193204	-9.52715	-2.16387
5.19598	0.194403	-9.5271	-2.16474
5.20599	0.195644	-9.52706	-2.16561
5.216	0.196926	-9.52703	-2.16649
5.22602	0.198251	-9.52702	-2.16736
5.23603	0.199619	-9.52702	-2.16823
5.24604	0.201027	-9.52703	-2.1691
5.25605	0.202476	-9.52706	-2.16997
5.26606	0.203966	-9.52709	-2.17084
5.27607	0.205496	-9.52715	-2.17171
5.28608	0.207066	-9.52721	-2.17258
5.2961	0.208674	-9.52729	-2.17345
5.30611	0.210321	-9.52739	-2.17433
5.31612	0.212006	-9.5275	-2.17521
5.32613	0.213728	-9.52762	-2.17609
5.33614	0.215488	-9.52776	-2.17698
5.34615	0.217284	-9.52792	-2.17787
5.35617	0.219117	-9.52809	-2.17877
5.36618	0.220986	-9.52828	-2.17968
5.37619	0.22289	-9.52848	-2.1806
5.3862	0.224829	-9.5287	-2.18152
5.39621	0.226802	-9.52894	-2.18246
5.40622	0.228808	-9.5292	-2.18341
5.41623	0.230849	-9.52947	-2.18438
5.42625	0.232922	-9.52977	-2.18535
5.43626	0.235027	-9.53008	-2.18635
5.44627	0.237164	-9.53041	-2.18736
5.45628	0.239332	-9.53076	-2.18839
5.46629	0.241531	-9.53114	-2.18944
5.4763	0.24376	-9.53153	-2.19052
5.48631	0.246018	-9.53194	-2.19162
5.49633	0.248304	-9.53238	-2.19274
5.50634	0.250617	-9.53283	-2.19389
5.51635	0.252958	-9.53331	-2.19507
5.52636	0.255324	-9.53381	-2.19628
5.53637	0.257716	-9.53433	-2.19752
5.54638	0.260131	-9.53488	-2.1988
5.5564	0.262569	-9.53545	-2.20012
5.56641	0.265029	-9.53604	-2.20147
5.57642	0.26751	-9.53665	-2.20286
5.58643	0.270009	-9.53728	-2.20429
5.59644	0.272526	-9.53794	-2.20577
5.60645	0.275059	-9.53862	-2.2073
5.61646	0.277607	-9.53932	-2.20887
5.62648	0.280167	-9.54005	-2.21049
5.63649	0.282738	-9.54079	-2.21217
5.6465	0.285318	-9.54155	-2.21389
5.65651	0.287905	-9.54234	-2.21568
5.66652	0.290497	-9.54314	-2.21753
5.67653	0.29309	-9.54396	-2.21943
5.68655	0.295683	-9.54479	-2.2214
5.69656	0.298273	-9.54564	-2.22343
5.70657	0.300858	-9.5465	-2.22553
5.71658	0.303433	-9.54738	-2.2277
5.72659	0.305998	-9.54826	-2.22994
5.7366	0.308548	-9.54915	-2.23226
5.74661	0.31108	-9.55004	-2.23465
5.75663	0.313591	-9.55094	-2.23712
5.76664	0.316078	-9.55184	-2.23968
5.77665	0.318538	-9.55273	-2.24232
5.78666	0.320967	-9.55362	-2.24504
5.79667	0.323361	-9.55449	-2.24786
5.80668	0.325718	-9.55536	-2.25077
5.8167	0.328034	-9.55621	-2.25377
5.82671	0.330306	-9.55704	-2.25687
5.83672	0.33253	-9.55784	-2.26008
5.84673	0.334704	-9.55862	-2.26338
5.85674	0.336823	-9.55937	-2.2668
5.86675	0.338885	-9.56008	-2.27033
5.87676	0.340885	-9.56074	-2.27397
5.88678	0.342822	-9.56137	-2.27772
5.89679	0.344693	-9.56194	-2.2816
5.9068	0.346493	-9.56245	-2.2856
5.91681	0.348223	-9.56291	-2.28974
5.92682	0.349877	-9.5633	-2.294
5.93683	0.351455	-9.56362	-2.2984
5.94685	0.352953	-9.56387	-2.30294
5.95686	0.354371	-9.56403	-2.30763
5.96687	0.355705	-9.56411	-2.31246
5.97688	0.356954	-9.5641	-2.31745
5.98689	0.358117	-9.56399	-2.32259
5.9969	0.359191	-9.56378	-2.32789
6.00691	0.360177	-9.56346	-2.33337
6.01693	0.361073	-9.56303	-2.33901
6.02694	0.361877	-9.56249	-2.34483
6.03695	0.362589	-9.56182	-2.35082
6.04696	0.363209	-9.56103	-2.357
6.05697	0.363736	-9.5601	-2.36337
6.06698	0.36417	-9.55904	-2.36994
6.07699	0.364511	-9.55784	-2.3767
6.08701	0.364759	-9.55649	-2.38366
6.09702	0.364914	-9.555	-2.39082
6.10703	0.364978	-9.55335	-2.3982
6.11704	0.364951	-9.55155	-2.40579
6.12705	0.364832	-9.54958	-2.4136
6.13706	0.364624	-9.54745	-2.42162
6.14708	0.364326	-9.54516	-2.42987
6.15709	0.36394	-9.54269	-2.43835
6.1671	0.363467	-9.54005	-2.44705
6.17711	0.362909	-9.53724	-2.45599
6.18712	0.362267	-9.53425	-2.46516
6.19713	0.361543	-9.53108	-2.47456
6.20714	0.360738	-9.52773	-2.4842
6.21716	0.359854	-9.52419	-2.49408
6.22717	0.358892	-9.52047	-2.50419
6.23718	0.357855	-9.51657	-2.51454
6.24719	0.356743	-9.51248	-2.52513
6.2572	0.355559	-9.50821	-2.53595
6.26721	0.354305	-9.50375	-2.54701
6.27723	0.352982	-9.4991	-2.5583
6.28724	0.351593	-9.49426	-2.56982
6.29725	0.350139	-9.48924	-2.58157
6.30726	0.348624	-9.48404	-2.59355
6.31727	0.347048	-9.47865	-2.60574
6.32728	0.345414	-9.47308	-2.61815
6.33729	0.343723	-9.46732	-2.63078
6.34731	0.341978	-9.46139	-2.64361
6.35732	0.34018	-9.45528	-2.65664
6.36733	0.338333	-9.44899	-2.66987
6.37734	0.336436	-9.44253	-2.68329
6.38735	0.334494	-9.4359	-2.69689
6.39736	0.332507	-9.4291	-2.71067
6.40738	0.330478	-9.42214	-2.72461
6.41739	0.328408	-9.41502	-2.73871
6.4274	0.326301	-9.40773	-2.75296
6.43741	0.324157	-9.4003	-2.76735
6.44742	0.321978	-9.39272	-2.78188
6.45743	0.319768	-9.38499	-2.79653
6.46744	0.317526	-9.37712	-2.81129
6.47746	0.315256	-9.36912	-2.82616
6.48747	0.312959	-9.36098	-2.84112
6.49748	0.310637	-9.35273	-2.85616
6.50749	0.308292	-9.34435	-2.87128
6.5175	0.305925	-9.33586	-2.88645
6.52751	0.303539	-9.32726	-2.90168
6.53752	0.301135	-9.31856	-2.91694
6.54754	0.298715	-9.30977	-2.93223
6.55755	0.296279	-9.30089	-2.94753
6.56756	0.293829	-9.29193	-2.96284
6.57757	0.291365	-9.28289	-2.97814
6.58758	0.28889	-9.27378	-2.99342
6.59759	0.286404	-9.26462	-3.00867
6.60761	0.283907	-9.2554	-3.02387
6.61762	0.2814	-9.24614	-3.03902
6.62763	0.278883	-9.23684	-3.0541
6.63764	0.276355	-9.22751	-3.0691
6.64765	0.273818	-9.21816	-3.08401
6.65766	0.271268	-9.20879	-3.09881
6.66767	0.268707	-9.19942	-3.1135
6.67769	0.266132	-9.19004	-3.12807
6.6877	0.263542	-9.18068	-3.14249
6.69771	0.260934	-9.17133	-3.15676
6.70772	0.258307	-9.162	-3.17087
6.71773	0.255656	-9.15271	-3.18481
6.72774	0.252978	-9.14345	-3.19857
6.73776	0.25027	-9.13424	-3.21212
6.74777	0.247526	-9.12508	-3.22548
6.75778	0.244741	-9.11598	-3.23861
6.76779	0.241911	-9.10695	-3.25152
6.7778	0.239028	-9.09799	-3.26418
6.78781	0.236086	-9.08911	-3.2766
6.79782	0.233077	-9.08031	-3.28876
6.80784	0.229994	-9.0716	-3.30065
6.81785	0.226828	-9.06298	-3.31226
6.82786	0.223571	-9.05446	-3.32358
6.83787	0.220211	-9.04605	-3.33461
6.84788	0.21674	-9.03774	-3.34533
6.85789	0.213145	-9.02954	-3.35573
6.86791	0.209418	-9.02146	-3.36582
6.87792	0.205545	-9.01349	-3.37557
6.88793	0.201516	-9.00564	-3.38499
6.89794	0.197317	-8.99791	-3.39406
6.90795	0.192936	-8.9903	-3.40278
6.91796	0.18836	-8.98281	-3.41115
6.92797	0.183575	-8.97545	-3.41916
6.93799	0.178569	-8.9682	-3.42679
6.948	0.173328	-8.96108	-3.43406
6.95801	0.167838	-8.95408	-3.44095
6.96802	0.162085	-8.94719	-3.44747
6.97803	0.156056	-8.94042	-3.4536
6.98804	0.149737	-8.93377	-3.45935
6.99806	0.143116	-8.92723	-3.46472
7.00807	0.136178	-8.92079	-3.4697
7.01808	0.128912	-8.91446	-3.4743
7.02809	0.121306	-8.90823	-3.47851
7.0381	0.113346	-8.9021	-3.48233
7.04811	0.105023	-8.89605	-3.48578
7.05812	0.0963249	-8.8901	-3.48885
7.06814	0.0872424	-8.88422	-3.49153
7.07815	0.0777648	-8.87843	-3.49385
7.08816	0.0678829	-8.8727	-3.49579
7.09817	0.0575896	-8.86705	-3.49737
7.10818	0.0468773	-8.86145	-3.49859
7.11819	0.0357393	-8.85591	-3.49945
7.1282	0.0241695	-8.85041	-3.49997
7.13822	0.0121632	-8.84497	-3.50014
7.14823	-0.000283808	-8.83956	-3.49997
7.15824	-0.0131751	-8.83418	-3.49948
7.16825	-0.0265122	-8.82884	-3.49866
7.17826	-0.040297	-8.82352	-3.49753
7.18827	-0.0545305	-8.81821	-3.49609
7.19829	-0.0692127	-8.81292	-3.49435
7.2083	-0.0843424	-8.80764	-3.49232
7.21831	-0.0999175	-8.80237	-3.49001
7.22832	-0.115935	-8.7971	-3.48741
7.23833	-0.132393	-8.79182	-3.48455
7.24834	-0.149285	-8.78654	-3.48143
7.25835	-0.166609	-8.78125	-3.47806
7.26837	-0.184357	-8.77595	-3.47443
7.27838	-0.202525	-8.77064	-3.47057
7.28839	-0.221104	-8.76531	-3.46648
7.2984	-0.24009	-8.75997	-3.46217
7.30841	-0.259473	-8.7546	-3.45763
7.31842	-0.279246	-8.74921	-3.45288
7.32844	-0.299399	-8.74381	-3.44793
7.33845	-0.319924	-8.73838	-3.44278
7.34846	-0.340811	-8.73292	-3.43743
7.35847	-0.362051	-8.72745	-3.43189
7.36848	-0.38363	-8.72195	-3.42616
7.37849	-0.405541	-8.71643	-3.42025
7.3885	-0.427771	-8.7109	-3.41417
7.39852	-0.450312	-8.70534	-3.40792
7.40853	-0.47315	-8.69976	-3.4015
7.41854	-0.496274	-8.69417	-3.39491
7.42855	-0.519673	-8.68856	-3.38815
7.43856	-0.543336	-8.68293	-3.38123
7.44857	-0.567246	-8.67729	-3.37416
7.45859	-0.591395	-8.67164	-3.36693
7.4686	-0.61577	-8.66599	-3.35955
7.47861	-0.640358	-8.66033	-3.35203
7.48862	-0.665149	-8.65467	-3.34435
7.49863	-0.690128	-8.64901	-3.33653
7.50864	-0.715282	-8.64336	-3.32857
7.51865	-0.7406	-8.63771	-3.32046
7.52867	-0.766071	-8.63208	-3.3122
7.53868	-0.791684	-8.62645	-3.30381
7.54869	-0.817424	-8.62085	-3.29528
7.5587	-0.843275	-8.61526	-3.28661
7.56871	-0.869227	-8.6097	-3.27781
7.57872	-0.895264	-8.60416	-3.26887
7.58873	-0.921381	-8.59865	-3.2598
7.59875	-0.947561	-8.59317	-3.2506
7.60876	-0.973797	-8.58773	-3.24126
7.61877	-1.00008	-8.58233	-3.23179
7.62878	-1.02639	-8.57696	-3.22219
7.63879	-1.05272	-8.57165	-3.21247
7.6488	-1.07906	-8.56639	-3.20262
7.65882	-1.1054	-8.56117	-3.19265
7.66883	-1.13173	-8.55601	-3.18256
7.67884	-1.15804	-8.55091	-3.17234
7.68885	-1.18432	-8.54587	-3.162
7.69886	-1.21057	-8.5409	-3.15154
7.70887	-1.23676	-8.53599	-3.14097
7.71888	-1.26291	-8.53115	-3.13028
7.7289	-1.28899	-8.52638	-3.11947
7.73891	-1.315	-8.52169	-3.10855
7.74892	-1.34093	-8.51708	-3.09752
7.75893	-1.36678	-8.51255	-3.08638
7.76894	-1.39254	-8.5081	-3.07513
7.77895	-1.4182	-8.50374	-3.06378
7.78897	-1.44376	-8.49947	-3.05232
7.79898	-1.46921	-8.49529	-3.04077
7.80899	-1.49455	-8.4912	-3.02911
7.819	-1.51978	-8.48721	-3.01735
7.82901	-1.54488	-8.48332	-3.0055
7.83902	-1.56985	-8.47952	-2.99355
7.84903	-1.5947	-8.47583	-2.98151
7.85905	-1.61941	-8.47224	-2.96938
7.86906	-1.64398	-8.46876	-2.95717
7.87907	-1.66841	-8.46539	-2.94487
7.88908	-1.69269	-8.46213	-2.93248
7.89909	-1.71683	-8.45898	-2.92002
7.9091	-1.74082	-8.45595	-2.90748
7.91912	-1.76465	-8.45303	-2.89487
7.92913	-1.78832	-8.45022	-2.88218
7.93914	-1.81184	-8.44754	-2.86943
7.94915	-1.83519	-8.44497	-2.85661
7.95916	-1.85837	-8.44253	-2.84372
7.96917	-1.88139	-8.44021	-2.83078
7.97918	-1.90423	-8.43801	-2.81777
7.9892	-1.9269	-8.43593	-2.80472
7.99921	-1.94939	-8.43397	-2.79161
8.00922	-1.9717	-8.43214	-2.77845
8.01923	-1.99382	-8.43043	-2.76525
8.02924	-2.01576	-8.42885	-2.752
8.03925	-2.03751	-8.42739	-2.73872
8.04927	-2.05906	-8.42606	-2.72539
8.05928	-2.08042	-8.42484	-2.71203
8.06929	-2.10158	-8.42375	-2.69864
8.0793	-2.12254	-8.42279	-2.68523
8.08931	-2.14329	-8.42194	-2.67178
8.09932	-2.16383	-8.42122	-2.65831
8.10933	-2.18416	-8.42061	-2.64482
8.11935	-2.20427	-8.42012	-2.63131
8.12936	-2.22416	-8.41975	-2.61778
8.13937	-2.24383	-8.41949	-2.60423
8.14938	-2.26328	-8.41935	-2.59067
8.15939	-2.2825	-8.41932	-2.57709
8.1694	-2.30149	-8.4194	-2.5635
8.17941	-2.32024	-8.41959	-2.54989
8.18943	-2.33876	-8.41988	-2.53628
8.19944	-2.35703	-8.42029	-2.52265
8.20945	-2.37507	-8.42079	-2.50901
8.21946	-2.39285	-8.4214	-2.49536
8.22947	-2.41039	-8.42211	-2.4817
8.23948	-2.42768	-8.42292	-2.46803
8.2495	-2.44471	-8.42383	-2.45434
8.25951	-2.46149	-8.42484	-2.44063
8.26952	-2.47801	-8.42594	-2.42692
8.27953	-2.49427	-8.42714	-2.41318
8.28954	-2.51027	-8.42843	-2.39942
8.29955	-2.526	-8.42981	-2.38565
8.30956	-2.54147	-8.43129	-2.37185
8.31958	-2.55668	-8.43287	-2.35802
8.32959	-2.57162	-8.43453	-2.34417
8.3396	-2.58629	-8.43629	-2.33029
8.34961	-2.60069	-8.43814	-2.31638
8.35962	-2.61482	-8.44008	-2.30243
8.36963	-2.62868	-8.44211	-2.28845
8.37965	-2.64227	-8.44424	-2.27442
8.38966	-2.65559	-8.44647	-2.26035
8.39967	-2.66864	-8.44878	-2.24624
8.40968	-2.68142	-8.4512	-2.23207
8.41969	-2.69393	-8.4537	-2.21784
8.4297	-2.70617	-8.45631	-2.20357
8.43971	-2.71815	-8.45902	-2.18923
8.44973	-2.72985	-8.46183	-2.17484
8.45974	-2.74128	-8.46473	-2.16037
8.46975	-2.75245	-8.46774	-2.14584
8.47976	-2.76335	-8.47086	-2.13124
8.48977	-2.77398	-8.47408	-2.11656
8.49978	-2.78435	-8.47742	-2.10181
8.5098	-2.79445	-8.48086	-2.08697
8.51981	-2.80429	-8.48442	-2.07206
8.52982	-2.81387	-8.4881	-2.05706
8.53983	-2.82318	-8.49188	-2.04197
8.54984	-2.83224	-8.49579	-2.02679
8.55985	-2.84103	-8.49981	-2.01151
8.56986	-2.84957	-8.50394	-1.99613
8.57988	-2.85785	-8.5082	-1.98065
8.58989	-2.86587	-8.51259	-1.96507
8.5999	-2.87364	-8.5171	-1.94938
8.60991	-2.88117	-8.52173	-1.93359
8.61992	-2.88843	-8.52648	-1.91768
8.62993	-2.89545	-8.53137	-1.90166
8.63994	-2.90221	-8.5364	-1.88553
8.64996	-2.90872	-8.54156	-1.86929
8.65997	-2.91499	-8.54685	-1.85292
8.66998	-2.921	-8.55227	-1.83644
8.67999	-2.92676	-8.55783	-1.81984
8.69	-2.93228	-8.56353	-1.80312
8.70001	-2.93754	-8.56937	-1.78627
8.71003	-2.94256	-8.57535	-1.76929
8.72004	-2.94733	-8.58147	-1.75219
8.73005	-2.95185	-8.58774	-1.73495
8.74006	-2.95613	-8.59416	-1.71759
8.75007	-2.96017	-8.60071	-1.70011
8.76008	-2.96396	-8.60743	-1.6825
8.77009	-2.96752	-8.61429	-1.66477
8.78011	-2.97082	-8.6213	-1.6469
8.79012	-2.97389	-8.62845	-1.62891
8.80013	-2.97671	-8.63575	-1.61079
8.81014	-2.97929	-8.6432	-1.59254
8.82015	-2.98163	-8.6508	-1.57418
8.83016	-2.98374	-8.65854	-1.55571
8.84018	-2.98561	-8.66644	-1.53711
8.85019	-2.98724	-8.67449	-1.51839
8.8602	-2.98863	-8.6827	-1.49956
8.87021	-2.9898	-8.69106	-1.48062
8.88022	-2.99072	-8.69957	-1.46156
8.89023	-2.99142	-8.70823	-1.44241
8.90024	-2.99189	-8.71703	-1.42315
8.91026	-2.99214	-8.72598	-1.4038
8.92027	-2.99216	-8.73508	-1.38434
8.93028	-2.99196	-8.74432	-1.36479
8.94029	-2.99155	-8.75371	-1.34517
8.9503	-2.99091	-8.76324	-1.32547
8.96031	-2.99007	-8.77291	-1.30569
8.97033	-2.98901	-8.78271	-1.28583
8.98034	-2.98775	-8.79265	-1.26591
8.99035	-2.98629	-8.80272	-1.24592
9.00036	-2.98462	-8.81292	-1.22588
9.01037	-2.98276	-8.82325	-1.20579
9.02038	-2.9807	-8.8337	-1.18564
9.03039	-2.97846	-8.84426	-1.16545
9.04041	-2.97603	-8.85494	-1.14523
9.05042	-2.97343	-8.86572	-1.12498
9.06043	-2.97067	-8.8766	-1.1047
9.07044	-2.96773	-8.88759	-1.08441
9.08045	-2.96463	-8.89867	-1.0641
9.09046	-2.96138	-8.90985	-1.04379
9.10048	-2.95797	-8.92111	-1.02347
9.11049	-2.95442	-8.93245	-1.00316
9.1205	-2.95073	-8.94387	-0.982863
9.13051	-2.94691	-8.95536	-0.962574
9.14052	-2.94295	-8.96691	-0.942314
9.15053	-2.93887	-8.97853	-0.922086
9.16054	-2.93467	-8.99019	-0.901893
9.17056	-2.93035	-9.00191	-0.881743
9.18057	-2.92592	-9.01366	-0.861645
9.19058	-2.92138	-9.02546	-0.841604
9.20059	-2.91675	-9.03728	-0.821626
9.2106	-2.91202	-9.04913	-0.801718
9.22061	-2.9072	-9.06101	-0.781888
9.23062	-2.90229	-9.0729	-0.762143
9.24064	-2.8973	-9.08479	-0.742491
9.25065	-2.89224	-9.09669	-0.722937
9.26066	-2.8871	-9.10859	-0.70349
9.27067	-2.88189	-9.12048	-0.684156
9.28068	-2.87661	-9.13235	-0.664946
9.29069	-2.87128	-9.14421	-0.645865
9.30071	-2.86588	-9.15604	-0.626921
9.31072	-2.86042	-9.16784	-0.608122
9.32073	-2.85491	-9.1796	-0.589477
9.33074	-2.84934	-9.19132	-0.570992
9.34075	-2.84372	-9.20299	-0.552678
9.35076	-2.83806	-9.21461	-0.53454
9.36077	-2.83234	-9.22618	-0.516587
9.37079	-2.82657	-9.23767	-0.498829
9.3808	-2.82076	-9.2491	-0.481273
9.39081	-2.81489	-9.26045	-0.463927
9.40082	-2.80898	-9.27172	-0.4468
9.41083	-2.80301	-9.2829	-0.4299
9.42084	-2.79699	-9.294	-0.413235
9.43086	-2.79092	-9.30499	-0.396812
9.44087	-2.7848	-9.31588	-0.380643
9.45088	-2.77862	-9.32667	-0.364733
9.46089	-2.77239	-9.33734	-0.349093
9.4709	-2.7661	-9.3479	-0.33373
9.48091	-2.75974	-9.35834	-0.318653
9.49092	-2.75332	-9.36864	-0.30387
9.50094	-2.74683	-9.37882	-0.289388
9.51095	-2.74026	-9.38886	-0.275216
9.52096	-2.73362	-9.39876	-0.261362
9.53097	-2.72689	-9.40852	-0.247833
9.54098	-2.72008	-9.41812	-0.234637
9.55099	-2.71317	-9.42757	-0.221781
9.56101	-2.70617	-9.43687	-0.209272
9.57102	-2.69907	-9.44601	-0.197116
9.58103	-2.69186	-9.45498	-0.185321
9.59104	-2.68453	-9.46379	-0.173892
9.60105	-2.67708	-9.47243	-0.162835
9.61106	-2.6695	-9.4809	-0.152155
9.62107	-2.66179	-9.48919	-0.141857
9.63109	-2.65393	-9.4973	-0.131947
9.6411	-2.64593	-9.50523	-0.122428
9.65111	-2.63777	-9.51299	-0.1133
9.66112	-2.62945	-9.52057	-0.104577
9.67113	-2.62096	-9.52797	-0.0962889
9.68114	-2.61228	-9.53518	-0.0883691
9.69115	-2.60341	-9.54221	-0.0808523
9.70117	-2.59434	-9.54906	-0.0737444
9.71118	-2.58507	-9.55573	-0.0670282
9.72119	-2.57558	-9.56222	-0.0607248
9.7312	-2.56587	-9.56854	-0.0548325
9.74121	-2.55592	-9.57467	-0.0493487
9.75122	-2.54573	-9.58064	-0.0442711
9.76124	-2.53529	-9.58643	-0.0395945
9.77125	-2.5246	-9.59206	-0.0353144
9.78126	-2.51364	-9.59752	-0.0314268
9.79127	-2.50241	-9.60282	-0.0279273
9.80128	-2.49089	-9.60797	-0.0248115
9.81129	-2.47908	-9.61297	-0.0220721
9.8213	-2.46697	-9.61782	-0.0197034
9.83132	-2.45456	-9.62253	-0.0176977
9.84133	-2.44183	-9.6271	-0.0160465
9.85134	-2.42878	-9.63155	-0.0147411
9.86135	-2.41541	-9.63587	-0.0137726
9.87136	-2.4017	-9.64008	-0.0131298
9.88137	-2.38765	-9.64418	-0.012802
9.89139	-2.37326	-9.64818	-0.0127789
9.9014	-2.35853	-9.65209	-0.013048
9.91141	-2.34345	-9.6559	-0.013596
9.92142	-2.32801	-9.65964	-0.0144105
9.93143	-2.31223	-9.66331	-0.0154775
9.94144	-2.29609	-9.66692	-0.0167829
9.95145	-2.2796	-9.67047	-0.0183116
9.96147	-2.26276	-9.67397	-0.0200497
9.97148	-2.24556	-9.67743	-0.021982
9.98149	-2.22802	-9.68086	-0.024093
9.9915	-2.21014	-9.68427	-0.0263669
10.0015	-2.19192	-9.68766	-0.0287882
10.0115	-2.17336	-9.69104	-0.0313397
10.0215	-2.15448	-9.69441	-0.0340048
10.0315	-2.13528	-9.69779	-0.0367673
10.0416	-2.11577	-9.70118	-0.0396105
10.0516	-2.09597	-9.70458	-0.0425186
10.0616	-2.07587	-9.708	-0.045475
10.0716	-2.0555	-9.71146	-0.0484639
10.0816	-2.03486	-9.71494	-0.0514693
10.0916	-2.01397	-9.71846	-0.0544762
10.1016	-1.99284	-9.72202	-0.0574682
10.1116	-1.97149	-9.72562	-0.0604323
10.1217	-1.94993	-9.72927	-0.0633548
10.1317	-1.92818	-9.73296	-0.0662215
10.1417	-1.90626	-9.73671	-0.0690155
10.1517	-1.88417	-9.74051	-0.0717391
10.1617	-1.86194	-9.74436	-0.0743559
10.1717	-1.83959	-9.74826	-0.0768651
10.1817	-1.81714	-9.75221	-0.0792549
10.1917	-1.79459	-9.75622	-0.0815188
10.2017	-1.77198	-9.76028	-0.0836482
10.2118	-1.7493	-9.7644	-0.0856351
10.2218	-1.7266	-9.76856	-0.0874712
10.2318	-1.70388	-9.77277	-0.0891496
10.2418	-1.68115	-9.77702	-0.0906634
10.2518	-1.65845	-9.78132	-0.0920071
10.2618	-1.63577	-9.78565	-0.0931752
10.2718	-1.61315	-9.79002	-0.094165
10.2818	-1.5906	-9.79442	-0.0949722
10.2918	-1.56813	-9.79885	-0.0955939
10.3019	-1.54576	-9.8033	-0.0960285
10.3119	-1.5235	-9.80778	-0.0962747
10.3219	-1.50137	-9.81227	-0.0963318
10.3319	-1.47938	-9.81677	-0.0961995
10.3419	-1.45755	-9.82128	-0.0958778
10.3519	-1.43588	-9.82579	-0.0953677
10.3619	-1.41439	-9.8303	-0.0946702
10.3719	-1.3931	-9.8348	-0.0937865
10.382	-1.372	-9.83929	-0.0927187
10.392	-1.35111	-9.84376	-0.0914683
10.402	-1.33045	-9.84822	-0.0900379
10.412	-1.31001	-9.85264	-0.0884301
10.422	-1.28981	-9.85704	-0.0866478
10.432	-1.26985	-9.8614	-0.084694
10.442	-1.25015	-9.86573	-0.0825716
10.452	-1.2307	-9.87001	-0.0802845
10.462	-1.21151	-9.87425	-0.0778362
10.4721	-1.19259	-9.87843	-0.0752303
10.4821	-1.17394	-9.88256	-0.0724706
10.4921	-1.15557	-9.88663	-0.0695607
10.5021	-1.13747	-9.89064	-0.066505
10.5121	-1.11965	-9.89458	-0.0633071
10.5221	-1.10211	-9.89846	-0.0599712
10.5321	-1.08485	-9.90226	-0.0565014
10.5421	-1.06788	-9.906	-0.0529019
10.5521	-1.05119	-9.90965	-0.0491772
10.5622	-1.03478	-9.91323	-0.0453309
10.5722	-1.01865	-9.91673	-0.0413677
10.5822	-1.0028	-9.92014	-0.0372923
10.5922	-0.987222	-9.92346	-0.0331088
10.6022	-0.97192	-9.9267	-0.0288224
10.6122	-0.956888	-9.92984	-0.0244372
10.6222	-0.942121	-9.9329	-0.0199581
10.6322	-0.927615	-9.93587	-0.0153898
10.6422	-0.913365	-9.93874	-0.0107375
10.6523	-0.899368	-9.94151	-0.00600601
10.6623	-0.885616	-9.94419	-0.00120008
10.6723	-0.872105	-9.94677	0.00367534
10.6823	-0.858828	-9.94925	0.00861525
10.6923	-0.845778	-9.95163	0.0136147
10.7023	-0.832949	-9.95391	0.0186681
10.7123	-0.820333	-9.95609	0.0237705
10.7223	-0.807922	-9.95817	0.0289167
10.7324	-0.79571	-9.96014	0.0341015
10.7424	-0.783688	-9.96202	0.0393195
10.7524	-0.771849	-9.96378	0.0445655
10.7624	-0.760183	-9.96545	0.0498344
10.7724	-0.748683	-9.967	0.0551209
10.7824	-0.73734	-9.96846	0.0604198
10.7924	-0.726146	-9.96981	0.0657259
10.8024	-0.715093	-9.97105	0.0710343
10.8124	-0.704171	-9.97219	0.0763399
