time (sec)	X tilt (m/s^2)	Y tilt (m/s^2)	Z tilt (m/s^2)
4.70542	0.185706	-9.54136	-2.1152
4.71543	0.184924	-9.54087	-2.11643
4.72544	0.184175	-9.5404	-2.11765
4.73545	0.183466	-9.53992	-2.11885
4.74546	0.182799	-9.53945	-2.12004
4.75547	0.182169	-9.53898	-2.12122
4.76549	0.18158	-9.53852	-2.12238
4.7755	0.181028	-9.53807	-2.12354
4.78551	0.180512	-9.53762	-2.12468
4.79552	0.180034	-9.53719	-2.12582
4.80553	0.179593	-9.53676	-2.12694
4.81554	0.179189	-9.53634	-2.12806
4.82555	0.178823	-9.53593	-2.12916
4.83557	0.178494	-9.53552	-2.13026
4.84558	0.178203	-9.53513	-2.13134
4.85559	0.177949	-9.53474	-2.13242
4.8656	0.177736	-9.53436	-2.13349
4.87561	0.177566	-9.53399	-2.13454
4.88562	0.177435	-9.53363	-2.13559
4.89564	0.177343	-9.53327	-2.13662
4.90565	0.177292	-9.53292	-2.13765
4.91566	0.177282	-9.53259	-2.13867
4.92567	0.177311	-9.53226	-2.13968
4.93568	0.177383	-9.53194	-2.14068
4.94569	0.177495	-9.53163	-2.14167
4.9557	0.177649	-9.53132	-2.14266
4.96572	0.177845	-9.53103	-2.14364
4.97573	0.178083	-9.53075	-2.14461
4.98574	0.178362	-9.53048	-2.14558
4.99575	0.178686	-9.53021	-2.14653
5.00576	0.179055	-9.52996	-2.14748
5.01577	0.179468	-9.52971	-2.14843
5.02578	0.179924	-9.52948	-2.14937
5.0358	0.180427	-9.52926	-2.15031
5.04581	0.180971	-9.52904	-2.15124
5.05582	0.18156	-9.52884	-2.15217
5.06583	0.182193	-9.52864	-2.1531
5.07584	0.18287	-9.52846	-2.15402
5.08585	0.18359	-9.52829	-2.15493
5.09587	0.184355	-9.52812	-2.15584
5.10588	0.185162	-9.52797	-2.15675
5.11589	0.186014	-9.52783	-2.15765
5.1259	0.18691	-9.5277	-2.15854
5.13591	0.18785	-9.52758	-2.15944
5.14592	0.188834	-9.52747	-2.16033
