time (sec)	X tilt (m/s^2)	Y tilt (m/s^2)	Z tilt (m/s^2)
10.3413	5.0235	-8.01155	-0.469863
10.3513	5.03061	-8.00838	-0.469448
10.3613	5.03779	-8.00515	-0.469097
10.3713	5.04503	-8.00187	-0.468818
10.3813	5.05232	-7.99854	-0.468612
10.3913	5.05968	-7.99515	-0.468479
10.4013	5.0671	-7.99171	-0.468416
10.4113	5.07458	-7.98823	-0.468425
10.4213	5.08212	-7.98469	-0.468505
10.4313	5.08972	-7.9811	-0.468657
10.4414	5.09739	-7.97745	-0.468878
10.4514	5.10511	-7.97376	-0.469166
10.4614	5.11289	-7.97001	-0.469521
10.4714	5.12074	-7.96621	-0.469945
10.4814	5.12864	-7.96236	-0.470436
10.4914	5.1366	-7.95846	-0.470993
10.5014	5.14462	-7.95451	-0.471615
10.5114	5.15271	-7.95051	-0.472302
10.5214	5.16085	-7.94645	-0.473054
10.5314	5.16906	-7.94235	-0.473874
10.5414	5.17732	-7.9382	-0.474758
10.5514	5.18564	-7.934	-0.475707
10.5614	5.19402	-7.92975	-0.476718
10.5714	5.20245	-7.92545	-0.477792
10.5814	5.21094	-7.92111	-0.478928
10.5914	5.21949	-7.91672	-0.480126
10.6014	5.22809	-7.91228	-0.481385
10.6114	5.23675	-7.9078	-0.482704
10.6214	5.24547	-7.90327	-0.484082
10.6314	5.25423	-7.8987	-0.485519
10.6414	5.26305	-7.89408	-0.487015
10.6514	5.27192	-7.88942	-0.488568
10.6614	5.28085	-7.88472	-0.490178
10.6714	5.28982	-7.87998	-0.491845
10.6814	5.29884	-7.8752	-0.493568
10.6914	5.30791	-7.87037	-0.495346
10.7014	5.31703	-7.86551	-0.497179
10.7114	5.3262	-7.86061	-0.499067
10.7214	5.33541	-7.85568	-0.501007
10.7314	5.34466	-7.8507	-0.503001
10.7414	5.35396	-7.8457	-0.505047
10.7514	5.3633	-7.84065	-0.507145
10.7614	5.37268	-7.83558	-0.509294
10.7714	5.3821	-7.83047	-0.511493
10.7814	5.39155	-7.82534	-0.513742
10.7914	5.40105	-7.82017	-0.51604
10.8014	5.41057	-7.81497	-0.518387
10.8114	5.42014	-7.80975	-0.520783
10.8214	5.42973	-7.80449	-0.523225
10.8314	5.43936	-7.79922	-0.525715
10.8414	5.44901	-7.79391	-0.528252
10.8514	5.4587	-7.78859	-0.530834
10.8614	5.46841	-7.78324	-0.533463
10.8714	5.47814	-7.77787	-0.536137
10.8814	5.4879	-7.77248	-0.538856
10.8914	5.49768	-7.76707	-0.541618
10.9014	5.50747	-7.76165	-0.544422
10.9114	5.51729	-7.75621	-0.54727
10.9214	5.52712	-7.75075	-0.550161
10.9314	5.53697	-7.74528	-0.553094
10.9414	5.54682	-7.73979	-0.556069
10.9514	5.55669	-7.7343	-0.559086
10.9614	5.56657	-7.72879	-0.562144
10.9714	5.57645	-7.72327	-0.565244
10.9814	5.58634	-7.71775	-0.568383
10.9914	5.59623	-7.71222	-0.571563
11.0014	5.60613	-7.70668	-0.574782
11.0114	5.61602	-7.70114	-0.57804
11.0214	5.62591	-7.6956	-0.581339
11.0314	5.63579	-7.69005	-0.584676
11.0414	5.64567	-7.6845	-0.588052
11.0514	5.65554	-7.67895	-0.591466
11.0614	5.6654	-7.67341	-0.594919
11.0714	5.67525	-7.66786	-0.59841
11.0814	5.68508	-7.66232	-0.601939
11.0914	5.69489	-7.65678	-0.605505
11.1014	5.70469	-7.65125	-0.609109
11.1114	5.71447	-7.64572	-0.61275
11.1214	5.72422	-7.64021	-0.616429
11.1314	5.73395	-7.6347	-0.620144
11.1414	5.74366	-7.6292	-0.623896
11.1514	5.75333	-7.62371	-0.627685
11.1614	5.76298	-7.61824	-0.631511
11.1714	5.77259	-7.61277	-0.635372
11.1814	5.78217	-7.60732	-0.639268
11.1914	5.79172	-7.60188	-0.6432
11.2014	5.80122	-7.59646	-0.647167
11.2115	5.81069	-7.59105	-0.651172
11.2215	5.82012	-7.58566	-0.655217
11.2315	5.82951	-7.58029	-0.659303
11.2415	5.83884	-7.57494	-0.663417
11.2515	5.84813	-7.5696	-0.667566
11.2615	5.85736	-7.5643	-0.671747
11.2715	5.86655	-7.55901	-0.675961
11.2815	5.87568	-7.55374	-0.680212
11.2915	5.88475	-7.5485	-0.684503
11.3015	5.89378	-7.54328	-0.688831
11.3115	5.90274	-7.53808	-0.693195
11.3215	5.91165	-7.53291	-0.697595
11.3315	5.92049	-7.52777	-0.702028
11.3415	5.92927	-7.52265	-0.706498
11.3515	5.93799	-7.51756	-0.711001
11.3615	5.94664	-7.51249	-0.71554
11.3715	5.95522	-7.50746	-0.720113
11.3815	5.96374	-7.50246	-0.724721
11.3915	5.97218	-7.49748	-0.729364
11.4015	5.98055	-7.49254	-0.734042
11.4115	5.98884	-7.48762	-0.738754
11.4215	5.99706	-7.48274	-0.743501
11.4315	6.00521	-7.47789	-0.748281
11.4415	6.01327	-7.47307	-0.753097
