time (sec)	X vibration (m/s^2)	Y vibration (m/s^2)	Z vibration (m/s^2)
7.529	-0.617573	-0.615464	2.67828
7.54	-0.579341	-0.0465366	2.96612
7.55	-0.504098	-0.000414419	2.78528
7.559	-0.447744	0.11322	2.44951
7.569	-0.226817	0.272969	1.84683
7.58	0.497864	0.2598	0.989882
7.588	1.30912	0.257842	-0.620024
7.6	0.894666	-0.103824	-1.28955
7.609	0.260582	-0.492334	-1.5565
7.62	-0.0423748	-0.541996	-1.21257
7.63	-0.135792	-0.509604	-0.577152
7.639	0.028856	-0.581085	0.0127264
7.65	0.263685	-0.668842	0.229703
7.659	0.17689	-0.699942	0.123174
7.67	0.311668	-0.703953	0.387455
7.68	0.430666	-0.827609	0.497269
7.689	0.335071	-0.655804	0.233957
7.7	0.0845387	-0.557677	0.115707
7.709	0.546837	-0.387055	-0.368113
7.72	0.773092	-0.318057	-1.00945
7.73	0.404302	0.061247	-1.19818
7.739	-0.136845	0.549698	-0.856374
7.75	-0.114946	0.98507	0.110149
7.759	0.0410538	0.63163	0.285918
7.769	-0.166451	0.504357	0.194872
7.779	-0.0677382	-0.206915	0.370681
7.789	-0.184542	-0.519221	0.220198
7.8	-0.428133	-0.534521	-0.321797
7.809	-0.658218	-0.717616	-0.896309
7.82	-0.602511	-0.437052	-0.990288
7.828	-0.421757	-0.0196477	-0.74547
7.84	-0.457967	0.608362	-0.329472
7.849	-0.858251	1.31266	0.147082
7.86	-0.935648	1.55463	0.809455
7.868	-0.66316	1.42856	1.52394
7.879	0.00387659	1.23213	1.82725
7.89	0.941468	1.02834	0.704298
7.9	0.593534	0.947089	0.567429
7.909	0.621711	-0.0990912	-0.197342
7.92	0.564427	-0.48827	-0.767814
7.929	0.872658	-0.601138	-0.788608
7.94	0.780273	-0.469907	-0.597859
7.95	0.414436	-0.115491	-0.490778
7.959	0.205861	0.0369211	-0.629856
7.97	-0.234609	0.16828	-0.704263
7.979	-0.664268	0.374141	-0.517408
7.99	-0.624247	0.323121	-0.267228
7.999	-1.17894	0.296527	-0.472762
8.01	-0.584138	0.175059	-0.311646
8.019	-0.213926	0.106098	-0.194132
8.03	-0.169556	0.0760263	-0.86548
8.04	-1.29151	0.149906	-1.12328
8.049	-2.19722	-0.0880967	-0.911536
8.06	-2.33364	-0.0667714	-0.516839
8.07	-1.89511	-0.143457	-0.119155
8.079	-1.15135	-0.341786	0.0469631
8.09	-0.570356	-0.479101	0.0444108
8.1	-0.0594423	-0.52092	0.114602
8.109	-0.636091	-0.576836	-0.065677
8.12	-0.0793138	-0.652659	-0.103793
8.13	0.18628	-0.738782	-0.0891523
8.14	0.514146	-0.620109	0.181631
8.15	0.900967	-0.378002	0.413246
8.159	1.30155	-0.205881	0.756232
8.17	1.80216	-0.00249951	0.93917
8.18	2.18174	0.179515	1.22519
8.189	2.40277	0.35943	1.61518
8.199	2.6702	0.193524	1.59084
8.21	2.33693	0.31101	1.52443
8.219	2.05878	0.349399	1.43024
8.23	1.60847	0.0924012	0.985759
8.24	1.45519	-0.329711	0.449248
8.249	1.07515	-0.456929	0.517042
8.26	1.26594	-0.778284	-0.0288289
8.27	1.05369	-0.685408	-0.516781
8.28	0.131371	-0.200336	-0.704591
8.29	-1.10349	0.309522	-0.477809
8.299	-1.86103	0.394931	0.235637
8.31	-2.07678	0.474051	0.802818
8.32	-2.11759	0.500394	0.977175
8.329	-2.27955	0.286453	0.501954
8.34	-2.28778	0.25956	0.0478273
8.35	-2.08406	0.279519	-0.26336
8.359	-0.559327	0.169042	-0.646206
8.369	-0.750658	0.0741397	-0.377431
8.38	-0.223319	0.0549621	-0.563963
8.389	-0.102032	0.119556	-0.396249
8.4	-0.0312274	0.280915	-0.300467
8.41	-0.215358	0.550412	-0.00593934
8.419	-0.509549	0.62164	0.158339
8.43	-0.496574	0.46706	0.32126
8.44	0.184453	0.135157	0.498809
8.449	1.01072	-0.214974	0.41625
8.46	1.81628	-0.488592	0.263044
8.47	2.06635	-0.461615	-0.167583
8.479	1.96798	-0.530405	0.0943434
8.489	1.32473	-0.0219827	0.204162
8.499	0.912376	0.224411	0.587829
8.51	0.902254	0.0873648	0.775143
8.52	0.935961	-0.19594	0.808046
8.529	0.905608	-0.354826	0.456744
8.54	0.740054	-0.367556	-0.740649
8.549	0.245042	-0.154953	-1.04873
8.559	-0.459344	0.0344764	-1.22554
8.57	-0.724553	0.0491849	-1.09974
8.579	-0.440611	-0.203791	-0.919219
8.59	-0.00714604	-0.558721	-0.886858
8.6	-0.00720509	-0.51495	-0.897024
8.609	0.0378668	-0.562562	-0.909113
8.62	-0.623091	-0.215664	-1.01122
8.629	-1.32479	0.143458	-1.13846
8.64	-1.7798	0.435103	-1.31412
8.65	-2.10267	0.606056	-1.43392
8.659	-2.50595	0.754135	-1.59488
8.67	-2.10332	0.566079	-1.50965
8.68	-1.30401	0.356304	-1.22752
8.689	-0.251952	0.119357	-0.818694
8.7	0.521012	-0.161238	-0.407564
8.708	0.679934	-0.171583	-0.539769
8.719	0.935556	-0.0968545	0.0839496
8.729	1.38857	0.23976	0.733339
8.74	1.79679	0.259525	1.5015
8.75	1.88992	0.310521	2.12437
8.759	1.9042	0.296394	2.34786
8.77	1.59688	0.303753	2.52452
8.779	1.18285	0.199518	2.57073
8.79	0.864696	0.00876195	2.28098
8.8	0.802236	-0.290094	1.87761
8.809	0.783426	-0.480803	1.25669
8.82	-0.217592	-0.385412	0.0218959
8.829	-0.758014	0.35046	-0.620162
8.84	-1.33796	0.710287	-1.0477
8.849	-1.00643	0.776	-1.22392
8.859	-1.07408	0.673432	-1.35051
8.868	-0.655443	0.264344	-1.21477
8.88	-0.184772	-0.174761	-0.953979
8.89	0.406753	-0.450778	-0.573672
8.899	0.852695	-0.639715	-0.270923
8.91	1.12959	-0.675519	-0.217053
8.919	1.11468	-0.53813	-0.15539
8.93	1.05308	-0.222309	-0.330187
8.94	0.985615	-0.0350597	-0.640753
8.949	0.525511	0.0663909	-0.864833
8.959	0.981707	0.130778	-1.03835
8.969	-0.451203	0.179287	-0.456161
8.979	-0.363689	-0.0894709	0.0625642
8.99	0.0412762	-0.431021	0.364858
9	0.434471	-0.598314	0.333436
9.009	0.619191	-0.726694	-0.0661493
9.02	0.575615	-0.577057	-0.60863
9.029	0.116344	-0.138925	-0.806832
9.04	-0.536105	0.407449	-0.665858
9.05	-1.31655	0.831352	-0.441721
9.059	-2.18422	0.82582	0.217901
9.07	-2.48305	0.538928	0.900734
9.08	-2.11246	0.0990734	1.57404
9.089	-1.83887	0.12703	1.36707
9.099	-0.877671	-0.330785	1.72972
9.109	0.266713	-0.705553	1.48731
9.119	0.579992	-0.506543	0.869091
9.13	0.496392	-0.390276	-0.148599
9.139	0.092862	-0.257725	-1.12304
9.15	-0.437842	-0.0410824	-1.66755
9.16	-1.10966	0.0662149	-1.84194
9.169	-1.07087	-0.214922	-0.766254
9.18	-0.972174	-0.253707	-0.111181
9.19	-0.922835	-0.0780634	0.637893
9.199	-0.872843	0.274936	1.43522
9.21	-0.492935	0.598758	1.58708
9.22	-0.208452	0.808607	1.30455
9.229	-0.251701	0.858647	1.28099
9.239	0.0319797	0.858694	0.944884
9.25	0.439332	0.598009	0.554572
9.26	0.936918	0.0214	0.133482
9.269	1.20614	-0.50439	-0.446032
9.279	1.0369	-0.671245	-0.918736
9.29	0.57942	-0.556245	-0.952232
9.299	0.017308	-0.300979	-0.614933
9.31	-0.481685	-0.0346706	-0.24975
9.32	-0.635514	0.144041	0.471795
9.329	-0.325252	0.0337808	0.767981
9.34	0.251426	-0.0842633	0.728637
9.348	0.16452	-0.00928534	0.765323
9.36	0.576183	-0.00272795	0.656627
9.368	0.94448	0.0281242	0.490821
9.379	1.24942	-0.0177187	-0.0215362
9.39	1.24895	-0.0181034	-0.60748
9.4	1.13325	0.0215468	-1.17093
9.409	0.796803	0.063844	-1.60282
9.42	0.34131	0.22494	-1.94988
9.429	-0.343095	0.439189	-1.82489
9.44	-1.01383	0.535415	-1.40898
9.45	-1.33258	0.291779	-0.155059
9.459	-1.35846	0.355978	-0.0879212
9.47	-1.00853	0.23854	0.679175
9.48	-0.554189	0.207692	1.19234
9.489	-0.173311	0.184502	1.42902
9.5	0.382038	0.0899202	1.60304
9.509	0.908806	-0.17317	1.46095
9.52	1.2953	-0.325712	1.07136
9.53	1.34506	-0.475349	0.456744
9.539	1.03349	-0.548468	-0.145154
9.55	0.453537	-0.631474	-0.458062
9.56	-0.100557	-0.729571	-0.564463
9.569	-0.561719	-0.815411	-0.654435
9.579	-0.583915	-0.803552	-0.59592
9.59	-1.03192	-0.66783	-0.536128
9.599	-1.2861	-0.512353	-0.397729
9.609	-0.90122	0.0139664	0.0632376
9.619	-0.48868	0.287022	0.149683
9.63	-0.0408229	0.314633	0.177824
9.64	0.258599	0.284265	0.215048
9.649	0.470634	0.213708	0.0808954
9.66	0.460936	0.141189	-0.0655329
9.67	0.28195	0.231669	-0.135811
9.679	0.273072	0.191956	-0.0739072
9.69	0.0617777	0.215545	-0.219207
9.7	-0.0983672	0.250465	-0.320739
9.709	-0.141681	0.222249	-0.342005
9.72	-0.134778	0.170829	-0.445751
9.73	-0.100581	0.124327	-0.497632
9.739	-0.0706459	0.102575	-0.344214
9.75	0.376512	0.0716715	-0.149728
9.76	0.549209	0.0463953	-0.0672599
9.769	0.63988	-0.0504006	-0.0368212
9.779	0.608232	-0.171638	0.114814
9.79	0.549994	-0.207261	0.200104
9.8	0.402539	-0.276779	0.206557
9.81	0.420311	-0.338806	0.224688
9.82	0.181982	-0.293749	0.277125
9.828	-0.0516271	-0.257808	0.240854
9.84	-0.342616	-0.166314	0.297665
9.85	-0.51736	-0.049125	0.286369
9.86	-0.498263	-0.000819978	0.197702
9.868	-0.381509	0.00856734	0.0596721
9.879	-0.200354	0.127197	-0.0493466
9.89	-0.149622	0.156115	-0.106184
9.899	-0.0235779	0.248419	-0.123191
9.91	-0.073115	0.215784	-0.145179
9.92	-0.120317	0.146592	-0.109759
9.929	-0.0796439	0.0860356	-0.109451
9.94	-0.217556	0.0204549	-0.120148
9.95	-0.184323	-0.0386605	-0.0304144
9.959	-0.21695	-0.0394976	-0.120548
9.97	-0.119432	0.0321738	-0.24412
9.979	0.0147115	0.0304941	-0.346995
9.99	0.0944835	0.021529	-0.267832
10	0.206267	-0.00405202	-0.129078
10.009	0.29648	-0.0529286	-0.256798
10.02	0.319214	-0.032711	-0.181597
10.03	0.542985	0.133628	0.579942
10.039	0.280932	0.235318	0.398303
10.049	0.282954	0.207227	0.421626
10.059	-0.359819	0.272742	-0.0019391
10.069	-0.26531	0.151177	0.245383
10.079	-0.0451554	-0.0417946	0.476634
10.09	-0.00237017	-0.25373	0.506018
10.099	-0.0565773	-0.199771	0.196369
10.11	-0.169482	-0.0950241	-0.0632549
10.12	-0.352014	-0.0240801	-0.0263424
10.129	-0.744971	-0.00204491	0.170561
10.14	-0.899686	-0.01766	0.324609
10.15	-0.85712	0.0877018	0.293824
10.159	-0.628768	0.258449	0.286943
10.17	-0.297056	0.403826	0.280434
10.18	0.0839723	0.433165	0.213532
10.189	0.0725071	0.465334	0.252027
10.199	0.496674	0.329358	-0.0240752
10.21	0.81491	0.25587	-0.266636
10.22	0.972931	0.0779236	-0.269889
10.23	0.772756	-0.134503	-0.283913
10.238	0.277735	-0.170952	-0.390437
10.25	-0.139403	-0.214771	-0.375621
10.26	-0.307984	-0.251098	-0.256339
10.269	-0.257397	-0.0840688	-0.317291
10.28	0.0818214	0.025084	-0.314604
10.289	-0.0418481	0.0902647	-0.233281
10.3	-0.342429	0.217571	-0.306345
10.31	-0.633736	0.283665	-0.73316
10.319	-0.39662	0.320017	-0.443994
10.329	-0.369556	0.399327	-0.49027
10.339	0.118313	0.220133	-0.615979
10.35	0.683662	0.27833	-0.741401
10.359	1.14219	0.325653	-0.815191
10.369	1.26089	0.0774075	-0.577251
10.379	0.83002	-0.168799	0.184391
10.389	0.389808	-0.127107	0.949307
10.4	0.158573	-0.00376624	1.38325
10.41	-0.165821	-0.0505742	0.951203
10.419	-0.455418	-0.160025	-0.12279
10.43	-0.372539	-0.114316	-0.405714
10.44	-0.471151	-0.17602	-0.674843
10.449	-0.357169	-0.178585	-0.74833
10.459	-0.248859	-0.432083	-0.72958
10.469	0.0667629	-0.592236	-0.035098
10.479	0.292496	-0.623087	0.681463
10.489	0.41478	-0.550237	0.961116
10.5	0.444331	-0.595971	1.05825
10.509	0.428704	-0.576862	1.14894
10.519	0.492874	-0.530735	1.11992
10.53	0.498461	-0.592414	0.690139
10.54	0.465507	-0.624835	0.140593
10.549	0.492097	-0.492942	-0.36127
10.56	0.369846	-0.284925	-0.847418
10.57	0.372241	-0.100943	-1.00847
10.579	0.386545	-0.00292146	-0.941777
10.59	-0.0653717	0.3782	-0.496046
10.599	0.063586	0.222919	-0.499056
10.61	-0.591972	0.497666	-0.193524
10.62	0.212149	-0.0499363	0.523801
10.629	0.589929	-0.703791	0.562912
10.64	0.144785	-0.587325	0.19012
10.649	-1.05635	0.407837	-0.0564006
10.659	-1.95004	0.895247	-0.324482
10.67	-2.33692	1.24166	-0.528885
10.679	-2.08528	1.07511	-0.626065
10.69	-1.30429	0.738641	-0.202594
10.7	-0.268198	-0.121676	0.567633
10.709	0.450926	-0.790003	1.13194
10.719	0.459444	-0.979881	1.22967
10.73	0.694194	-1.11761	1.35696
10.74	0.233636	-0.610455	1.16505
10.749	-0.566054	-0.0484425	0.766496
10.76	-0.930483	0.322554	0.3921
10.77	-1.10605	0.563087	-0.0166547
10.779	-0.531929	0.820963	-0.71386
10.79	0.042111	0.524043	-0.622106
10.8	0.460994	0.20588	-0.529025
10.809	0.797218	-0.0141314	-0.395171
10.82	0.970818	-0.0696485	-0.0605046
10.829	0.917226	-0.225637	0.15173
10.84	0.761678	-0.207564	0.389366
10.849	0.493449	-0.161844	0.352151
10.86	0.328121	-0.0945307	0.453026
10.869	0.427536	-0.1376	0.300126
10.879	0.597944	-0.185383	-0.0419139
10.89	0.881583	-0.193013	-0.267616
10.9	1.09938	-0.295273	-0.296781
10.91	0.730302	0.31343	0.159807
10.92	0.359235	0.479716	0.652615
10.928	0.297456	0.393743	0.864583
10.939	-0.125632	0.365502	0.532053
10.95	-0.471202	0.5328	0.067433
10.959	-0.603828	0.494772	-0.636585
10.97	-0.723705	0.520007	-1.22338
10.979	-0.874208	0.506414	-1.77861
10.989	-1.00896	0.624036	-1.73288
11	-0.889175	0.545198	-1.30694
11.009	-0.701158	0.254	-0.752177
11.02	-0.333981	-0.0663264	-0.208158
11.03	-0.0494843	-0.15163	0.132281
11.039	-0.589819	0.0867934	0.178864
11.049	-0.692295	0.0684776	0.418097
11.059	-0.902151	0.536665	0.372369
11.069	-0.757442	0.49089	0.823309
11.079	-0.290902	0.0647565	1.04465
11.089	0.0783286	-0.317864	0.986895
11.1	0.259315	-0.305793	1.17943
11.11	0.553144	-0.507147	1.55972
11.119	0.695101	-0.665028	1.53633
11.13	0.740258	-0.755416	1.33106
11.14	0.843637	-0.837358	0.823471
11.149	0.954454	-0.781671	0.0839849
11.16	0.8504	-0.651498	-0.450545
11.169	0.815296	-0.730358	-0.883233
11.179	0.721433	-0.451188	-1.27181
11.19	0.468878	-0.0154533	-1.68769
11.199	0.321868	-0.0311182	-1.53458
11.21	0.023593	0.427116	-1.97759
11.22	-0.241607	0.760743	-2.11772
11.229	-0.453831	0.867117	-1.82366
11.24	-0.476391	0.735385	-1.30558
11.25	-0.136843	0.277889	-0.372604
11.259	-0.0883321	0.138494	0.276212
11.27	-0.219358	-0.0189364	0.865554
11.279	-0.405036	-0.168919	1.36793
11.29	-0.366007	-0.380852	1.65229
11.3	-0.385742	-0.278118	1.63292
11.309	-0.543661	-0.322615	1.71088
11.32	-0.989202	-0.285513	1.16044
11.33	-1.24587	-0.102908	0.44911
11.339	-1.26894	0.196843	-0.260127
11.35	-1.182	0.393649	-0.531957
11.359	-0.708743	0.290855	-0.850849
11.369	-0.270557	0.191375	-0.824174
11.379	0.0453374	0.0527422	-0.920951
11.389	0.576334	-0.059522	-0.854361
11.4	0.827809	-0.155882	-0.449511
11.409	0.99044	-0.284613	-0.36228
11.42	1.19788	-0.229166	-0.203601
11.43	1.18845	-0.0777654	-0.0169415
11.439	1.03821	-0.0996613	-0.0164913
11.449	1.13801	0.0919825	0.51689
11.46	0.742976	0.239841	0.188024
11.47	0.49996	0.151595	0.0925768
11.479	0.184747	-0.027105	-0.289685
11.489	-0.110217	-0.0973609	-0.333581
11.5	-0.424104	0.10056	-0.258328
11.509	-0.746776	0.491136	0.10738
11.519	-0.431644	0.556009	0.298493
11.529	0.133358	0.311578	0.253893
11.54	0.445232	0.0250484	0.124991
11.55	0.330402	-0.0874424	-0.304036
11.559	0.285409	-0.121679	-0.354494
11.57	0.151222	-0.396845	-0.470913
11.58	0.108878	-0.418196	-0.343383
11.59	0.0102462	-0.264789	-0.317592
11.6	-0.0977425	-0.141971	-0.184339
11.609	-0.0431849	-0.116428	-0.0464499
11.62	0.0642919	-0.131049	0.25675
11.63	0.00735301	-0.152643	0.462531
11.639	0.00661021	-0.249767	0.581018
11.65	-0.0526405	-0.326844	0.551789
11.66	-0.289499	-0.215941	0.592991
11.669	-0.472529	-0.0793444	0.933958
11.679	-0.510751	-0.128761	0.978558
11.69	-0.502145	-0.0595783	1.26492
11.699	-0.419849	0.0170601	1.51521
11.76	-0.438421	-0.0334694	1.56142
11.772	-0.239297	0.22224	0.107707
11.782	-0.544307	0.0356371	0.111299
11.791	-0.629213	-0.0367164	0.160559
11.802	-0.516469	0.0419172	0.360371
11.812	-0.220048	0.247028	0.21325
11.821	-0.213032	0.188094	0.267205
11.832	0.107283	0.145005	-0.409834
11.842	0.775482	0.107484	-1.59865
11.851	1.47914	0.169208	-2.02378
11.862	1.72227	0.342885	-2.35305
11.872	1.77228	0.400468	-2.21375
11.882	1.67433	0.256991	-1.22469
11.892	1.25173	-0.0694093	-0.506102
11.902	0.544329	-0.264647	-0.0809041
11.912	-0.0614676	-0.290197	0.201796
11.922	-0.0559243	-0.320562	0.224023
11.931	-0.617723	-0.336264	0.673173
11.942	-1.12226	-0.337372	0.928499
11.952	-1.32836	-0.326892	0.745475
11.962	-1.20656	-0.131056	0.384158
11.972	-0.759938	0.196652	-0.519983
11.982	-0.766244	0.322685	-0.657839
11.991	-0.762659	0.268494	-0.576326
12.002	-0.563273	0.270463	-0.37308
12.012	-0.292755	0.358828	-0.0690068
12.022	-0.0096863	0.440122	0.63146
12.031	-0.02265	0.469108	0.596547
12.041	0.19019	0.385207	0.706227
12.052	0.00754569	0.441293	0.584839
12.062	-0.127149	0.440772	0.82196
12.072	-0.294586	0.330522	1.06395
12.082	-0.434353	0.157118	0.912074
12.092	-0.458397	0.11218	0.553343
12.102	-0.384213	0.0929956	0.175703
12.112	-0.208092	0.035376	-0.261528
12.122	-0.0283122	0.0420925	-0.559139
12.132	0.193035	-0.10024	-0.845892
12.142	0.301248	-0.287213	-0.999918
12.152	0.437266	-0.374666	-0.978799
12.162	0.416997	-0.333671	-0.470305
12.172	0.367801	-0.349062	-0.0487676
12.182	0.329696	-0.319848	-0.0270339
12.192	0.343951	-0.333613	0.310758
12.202	0.435919	-0.43573	0.562014
12.212	0.468902	-0.457118	0.621665
12.221	0.394576	-0.40691	0.582905
12.232	0.315506	-0.277356	0.484333
12.242	0.378113	-0.247961	0.400809
12.251	0.435024	-0.130063	0.264933
12.262	0.377746	-0.134342	0.041782
12.272	0.335211	-0.161553	-0.169544
12.281	0.229288	-0.089384	-0.444688
12.292	0.0408814	-0.0389556	-0.546616
12.302	-0.0290048	-0.0779338	-0.491113
12.311	0.0100014	-0.103203	-0.523253
12.322	0.0212782	-0.0940355	-0.461754
12.332	-0.0508853	-0.0668866	-0.487982
12.342	0.093553	0.0374224	-0.470165
12.352	0.0268338	0.255669	-0.576642
12.362	-0.0943674	0.233342	-0.514406
12.372	-0.134649	0.31114	-0.485929
12.382	-0.257466	0.417792	-0.304596
12.392	-0.324025	0.385474	-0.0573541
12.401	-0.344243	0.261449	0.0837325
12.412	-0.410844	0.278557	0.245409
12.422	-0.461431	0.176456	0.510104
12.431	-0.44839	0.150219	0.481134
12.441	-0.522898	-0.0768936	0.667903
12.452	-0.440051	-0.164774	0.592307
12.462	-0.402978	-0.0831596	0.500861
12.472	-0.179183	-0.0305597	0.451359
12.482	-0.20347	-0.0908944	0.444919
12.492	-0.307826	-0.100658	0.439344
12.502	-0.365803	-0.0894703	0.293753
12.511	-0.0910258	-0.146453	0.145491
12.522	-0.0546052	0.257333	-0.254439
12.532	0.107216	-0.0055828	-0.296722
12.542	0.477916	-0.391589	-0.161695
12.552	0.0536174	0.293656	-0.228879
12.562	0.0439666	0.138774	0.141328
12.572	0.0257284	0.143593	0.146085
12.582	0.430892	-0.10937	0.3402
12.592	0.729405	-0.211685	0.501357
12.602	0.859759	-0.198208	0.350877
12.612	0.648191	0.0917278	-0.217933
12.622	0.181543	0.274659	-0.53149
12.632	-0.127051	0.279509	-0.767204
12.642	-0.0463109	0.174129	-0.634063
12.652	0.262262	0.0928403	-0.430033
12.662	0.324377	-0.0382005	-0.155674
12.672	0.0542809	-0.161951	0.1111
12.682	-0.0371379	-0.148267	0.246518
12.692	-0.137691	-0.0768763	0.188609
12.702	-0.142411	-0.0615644	0.204923
12.712	-0.212203	-0.0433701	0.141014
12.722	-0.198722	0.0663761	0.15415
12.732	-0.145577	0.120321	0.251363
12.742	-0.0409068	0.0997779	0.356009
12.752	-0.0926319	0.0927659	0.188975
12.762	-0.229209	0.105493	0.133541
12.772	-0.314731	0.0520435	0.132468
12.782	-0.452862	0.00962525	-0.101894
12.792	-0.523649	-0.0441146	-0.282338
12.802	-0.45618	0.0462676	-0.34789
12.812	-0.311473	0.0594416	-0.389135
12.822	-0.279363	-0.000948419	-0.437204
12.831	-0.269639	0.0104821	-0.458641
12.842	-0.165388	-0.0103288	-0.461396
12.852	0.39109	-0.0159487	-0.275383
12.862	0.624864	-0.0551002	-0.113954
12.872	0.669515	-0.129961	-0.0125563
12.882	0.759949	-0.143416	0.0729465
12.892	0.74618	-0.147373	0.100821
12.902	0.704411	-0.189722	0.176514
12.912	0.560242	-0.249412	0.107852
12.921	0.328846	-0.178994	-0.0364302
12.931	0.0024797	-0.11732	-0.153738
12.941	0.00975922	-0.128027	-0.171104
12.951	-0.232335	-0.0519965	-0.162557
12.962	-0.316604	-0.146	-0.192265
12.972	-0.451685	-0.148198	-0.0678071
12.982	-0.602579	-0.224863	0.0472777
12.991	-0.59335	-0.250746	0.302083
13.002	-0.44432	-0.0951509	0.536453
13.012	-0.021536	0.0903362	1.00884
13.022	0.147946	0.12579	0.885783
13.032	0.156906	0.219824	0.640273
13.042	0.0640481	0.242178	0.34713
13.052	-0.0480276	0.25639	0.0560007
13.061	-0.0314056	0.239937	0.0645778
13.072	-0.0604252	0.189701	-0.213579
13.081	-0.0777638	0.232526	-0.317299
13.092	-0.0324397	0.229124	-0.324804
13.102	0.0479492	0.198606	-0.293337
13.112	0.0581367	0.106461	-0.187383
13.122	0.0839279	0.0157032	-0.0708681
13.132	0.0113085	-0.0811481	0.111392
13.142	-0.0709565	-0.203246	0.188583
13.152	-0.0717848	-0.111458	0.0709193
13.162	-0.0620399	-0.0270651	-0.141884
13.171	-0.0715852	-0.0244087	-0.126506
13.181	-0.0130644	0.0444893	-0.290258
13.191	0.0263947	0.143174	-0.444844
13.202	-0.0659402	0.171489	-0.536537
13.212	-0.119051	0.135572	-0.562732
13.222	-0.145225	0.0624468	-0.418464
13.232	0.0153257	0.0225106	-0.128407
13.241	0.240439	-0.00884163	0.133079
13.252	0.325841	-0.120228	0.199161
13.262	0.225488	-0.136277	0.321181
13.272	0.115875	-0.217681	0.394772
13.282	0.00155321	-0.0862174	0.271885
13.292	0.0215419	-0.0603637	0.141086
13.302	0.125778	-0.037272	0.0510639
13.312	0.020916	-0.0489276	-0.0327932
13.322	-0.0201724	-0.0538331	0.0564418
13.332	-0.0413047	-0.0504481	0.0693719
13.342	-0.217927	0.000718014	0.28987
13.352	-0.323679	-0.0499679	0.384489
13.362	-0.32354	-0.0740241	0.365565
13.372	-0.247652	-0.0708732	0.338306
13.382	-0.210444	-0.0197262	0.282084
13.392	-0.190504	-0.00392252	0.158354
13.402	-0.1901	0.0225305	0.0640613
13.411	-0.14332	0.0670963	0.000337018
13.421	0.017057	0.119382	-0.0892569
13.432	0.142772	0.0435651	-0.257243
13.442	0.274038	0.031804	-0.3379
13.452	0.22333	-0.00492424	-0.308245
13.461	0.19911	0.00356109	-0.297494
13.472	0.29867	0.00922255	-0.343797
13.482	0.272357	0.0897271	-0.3837
13.492	0.208354	0.141871	-0.369883
13.502	0.151661	0.228323	-0.243367
13.512	-0.103415	0.270746	-0.0761716
13.522	-0.271249	0.282029	0.099206
13.531	-0.310243	0.188055	0.157472
13.542	-0.262497	0.128143	0.214816
13.552	-0.0732273	-0.0549401	0.0785784
13.562	-0.0745082	-0.143737	0.0999386
13.572	-0.173814	-0.239834	-0.00755487
13.582	-0.204787	-0.218449	-0.0479117
13.592	-0.170975	-0.328309	0.0234439
13.602	0.0319941	-0.450782	-2.25045e-05
13.612	0.0473592	-0.458981	-0.0258113
13.622	0.255754	-0.415725	-0.000204458
13.632	0.476496	-0.288942	-0.0970375
13.642	0.555668	-0.196791	0.0039364
13.652	0.459337	-0.183683	0.0153817
13.662	0.248374	-0.131266	0.0736538
13.672	0.0158016	0.0982079	0.0678189
13.682	-0.109766	0.233601	0.109222
13.692	-0.0810369	0.311189	0.170299
13.702	0.151094	0.265107	0.268695
13.712	0.394616	0.265414	0.259663
13.721	0.431536	0.260566	0.224023
13.732	0.537387	0.263592	0.184843
13.742	0.322266	0.281529	0.183055
13.752	0.0483328	0.143218	0.181709
13.762	-0.320007	0.13689	0.127311
13.771	-0.514356	0.155548	0.128156
13.781	-0.58938	0.183065	0.00149371
13.792	-0.593192	0.192959	-0.205763
13.802	-0.547126	0.184995	-0.378522
13.812	-0.39985	0.0206819	-0.603779
13.822	-0.16115	-0.0977693	-0.610422
13.831	0.0727881	-0.0754681	-0.57942
13.842	0.247894	0.00587956	-0.655931
13.851	0.30902	0.0166749	-0.747059
13.862	0.46162	0.0351772	-0.733327
13.872	0.31932	-0.144768	-0.529267
13.882	0.104197	-0.157462	-0.364374
13.892	-0.0296504	-0.18308	-0.0668513
13.901	0.0716922	-0.177729	0.108092
13.912	0.283988	-0.149023	0.224853
13.921	0.368186	-0.0282625	0.242948
13.932	0.231297	0.0184822	0.33933
13.942	-0.0879659	0.0754616	0.306534
13.952	-0.350539	-0.00253591	0.356662
13.962	-0.538442	-0.11334	0.435001
13.972	-0.509624	-0.129332	0.3179
13.982	-0.531011	-0.195201	0.419471
13.992	-0.390313	-0.201938	0.306898
14.002	-0.260684	-0.221641	0.273841
14.013	-0.0170844	-0.209291	0.170984
14.022	0.160185	-0.179515	0.00632902
14.032	0.119173	-0.222339	-0.13687
14.042	-0.0193154	-0.181649	-0.357416
14.051	-0.132775	-0.162294	-0.415534
14.062	-0.0520135	-0.139943	-0.249976
14.072	0.185728	-0.121758	0.0441763
14.081	0.197323	-0.162992	0.000291591
14.091	0.426286	-0.061153	0.211474
14.101	0.45937	0.156742	0.287652
14.111	0.302431	0.195062	0.308521
14.122	-0.0563786	0.156317	0.303267
14.132	-0.32387	0.0630699	0.362051
14.142	-0.406496	0.0342328	0.401371
14.152	-0.282788	0.0425301	0.382337
14.162	-0.0853996	0.0912277	0.369542
14.172	0.0718036	0.228785	0.333265
14.182	0.00346923	0.330213	0.249696
14.192	-0.0708991	0.29876	0.294039
14.201	0.00125397	0.197568	0.288948
